Subject	Source	Question	Answer		
Kate	3	Выберите правильный вариант ответа	3) 75  10  10  5
Kate	4	Выберите правильный вариант ответа	2) 70  15  10  5
Kate	6	Выберите правильный вариант ответа	3) 60  20  15  5
Kate	5	Выберите правильный вариант ответа	2) 80  10  5  5
Kate	2	Выберите правильный ответ	1) 65  20  10  5
Kate	10	Выберите правильный вариант ответа	2) 80  10  5  5
Kate	8	Выберите правильный вариант ответа	3) 75  10  10  5
Kate	11	Выберите правильный вариант ответа	3) 60  20  15  5
Kate	9	Выберите правильный вариант ответа	2) 70  15  10  5
Kate	7	Выберите правильный вариант ответа	1) 65  20  10  5
Kate	12	Выберите правильный вариант ответа	1) 65  20  10  5
Kate	13	Выберите правильный вариант ответа	3) 75  10  10  5
Kate	16	Выберите правильный вариант ответа	3) 60  20  15  5
Kate	15	Выберите правильный вариант ответа	2) 80  10  5  5
Kate	14	Выберите правильный вариант ответа	2) 70  15  10  5
Kate 02	5	Выберите правильный вариант ответа	3) 75  15  5  5
Kate 02	6	Выберите правильный вариант ответа	1) 65  20  15  10
Kate 02	3	Выберите правильный вариант ответа	3) 75  10  10  5
Kate 02	2	Выберите правильный ответ	1) 65  20  10  5
Kate 02	4	Выберите правильный вариант ответа	2) 70  15  10  5
Kate 02	9	Выберите правильный вариант ответа	2) 70  15  10  5
Kate 02	11	Выберите правильный вариант ответа	2) 70  15  10  5
Kate 02	7	Выберите правильный вариант ответа	1) 65  20  10  5
Kate 02	8	Выберите правильный вариант ответа	1) 65  20  15  10
Kate 02	10	Выберите правильный вариант ответа	3) 75  15  5  5
Kate 02	14	Выберите правильный вариант ответа	2) 70  15  10  5
Kate 02	16	Выберите правильный вариант ответа	3) 60  20  15  5
Kate 02	12	Выберите правильный вариант ответа	1) 65  20  10  5
Kate 02	15	Выберите правильный вариант ответа	2) 80  10  5  5
Kate 02	13	Выберите правильный вариант ответа	3) 75  10  10  5
Valera	5	Выберите правильный вариант ответа	2) 80  10  5  5
Valera	2	Выберите правильный ответ	2) 70  15  10  5
Valera	6	Выберите правильный вариант ответа	3) 60  20  15  5
Valera	3	Выберите правильный вариант ответа	3) 75  10  10  5
Valera	4	Выберите правильный вариант ответа	2) 70  15  10  5
Valera	7	Выберите правильный вариант ответа	1) 65  20  10  5
Valera	9	Выберите правильный вариант ответа	2) 70  15  10  5
Valera	11	Выберите правильный вариант ответа	3) 60  20  15  5
Valera	8	Выберите правильный вариант ответа	3) 75  10  10  5
Valera	10	Выберите правильный вариант ответа	1) 85  6  5  4
Valera	16	Выберите правильный вариант ответа	3) 60  20  15  5
Valera	12	Выберите правильный вариант ответа	1) 65  20  10  5
Valera	13	Выберите правильный вариант ответа	3) 75  10  10  5
Valera	15	Выберите правильный вариант ответа	1) 85  6  5  4
Valera	14	Выберите правильный вариант ответа	2) 70  15  10  5
sasha	4	Выберите правильный вариант ответа	1) 65  20  15  10
sasha	5	Выберите правильный вариант ответа	2) 80  10  5  5
sasha	2	Выберите правильный ответ	2) 70  15  10  5
sasha	3	Выберите правильный вариант ответа	3) 75  10  10  5
sasha	6	Выберите правильный вариант ответа	3) 60  20  15  5
sasha	10	Выберите правильный вариант ответа	2) 80  10  5  5
sasha	9	Выберите правильный вариант ответа	2) 70  15  10  5
sasha	7	Выберите правильный вариант ответа	1) 65  20  10  5
sasha	8	Выберите правильный вариант ответа	3) 75  10  10  5
sasha	11	Выберите правильный вариант ответа	3) 60  20  15  5
sasha	13	Выберите правильный вариант ответа	3) 75  10  10  5
sasha	14	Выберите правильный вариант ответа	2) 70  15  10  5
sasha	15	Выберите правильный вариант ответа	2) 80  10  5  5
sasha	16	Выберите правильный вариант ответа	3) 60  20  15  5
sasha	12	Выберите правильный вариант ответа	1) 65  20  10  5
Yaroslava	5	Выберите правильный вариант ответа	2) 80  10  5  5
Yaroslava	6	Выберите правильный вариант ответа	3) 60  20  15  5
Yaroslava	3	Выберите правильный вариант ответа	3) 75  10  10  5
Yaroslava	2	Выберите правильный ответ	2) 70  15  10  5
Yaroslava	4	Выберите правильный вариант ответа	2) 70  15  10  5
Yaroslava	11	Выберите правильный вариант ответа	3) 60  20  15  5
Yaroslava	8	Выберите правильный вариант ответа	3) 75  10  10  5
Yaroslava	9	Выберите правильный вариант ответа	2) 70  15  10  5
Yaroslava	10	Выберите правильный вариант ответа	2) 80  10  5  5
Yaroslava	7	Выберите правильный вариант ответа	1) 65  20  10  5
Yaroslava	13	Выберите правильный вариант ответа	2) 70  15  10  5
Yaroslava	12	Выберите правильный вариант ответа	1) 65  20  10  5
Yaroslava	15	Выберите правильный вариант ответа	1) 85  6  5  4
Yaroslava	16	Выберите правильный вариант ответа	3) 60  20  15  5
Yaroslava	14	Выберите правильный вариант ответа	1) 65  20  15  10
Anastasia	2	Выберите правильный ответ	1) 65  20  10  5
Anastasia	4	Выберите правильный вариант ответа	3) 75  10  5  5
Anastasia	6	Выберите правильный вариант ответа	3) 60  20  15  5
Anastasia	5	Выберите правильный вариант ответа	2) 80  10  5  5
Anastasia	3	Выберите правильный вариант ответа	3) 75  10  10  5
Anastasia	8	Выберите правильный вариант ответа	2) 70  15  10  5
Anastasia	10	Выберите правильный вариант ответа	1) 85  6  5  4
Anastasia	11	Выберите правильный вариант ответа	3) 60  20  15  5
Anastasia	9	Выберите правильный вариант ответа	1) 65  20  15  10
Anastasia	7	Выберите правильный вариант ответа	1) 65  20  10  5
Anastasia	14	Выберите правильный вариант ответа	1) 65  20  15  10
Anastasia	12	Выберите правильный вариант ответа	1) 65  20  10  5
Anastasia	13	Выберите правильный вариант ответа	3) 75  10  10  5
Anastasia	16	Выберите правильный вариант ответа	3) 60  20  15  5
Anastasia	15	Выберите правильный вариант ответа	2) 80  10  5  5
Ira	5	Выберите правильный вариант ответа	2) 80  10  5  5
Ira	3	Выберите правильный вариант ответа	3) 75  10  10  5
Ira	6	Выберите правильный вариант ответа	3) 60  20  15  5
Ira	2	Выберите правильный ответ	1) 65  20  10  5
Ira	4	Выберите правильный вариант ответа	2) 70  15  10  5
Ira	10	Выберите правильный вариант ответа	2) 80  10  5  5
Ira	11	Выберите правильный вариант ответа	3) 60  20  15  5
Ira	7	Выберите правильный вариант ответа	1) 65  20  10  5
Ira	8	Выберите правильный вариант ответа	3) 75  10  10  5
Ira	9	Выберите правильный вариант ответа	2) 70  15  10  5
Ira	15	Выберите правильный вариант ответа	2) 80  10  5  5
Ira	12	Выберите правильный вариант ответа	1) 65  20  10  5
Ira	13	Выберите правильный вариант ответа	2) 70  15  10  5
Ira	14	Выберите правильный вариант ответа	2) 70  15  10  5
Ira	16	Выберите правильный вариант ответа	3) 60  20  15  5
Polina 05	4	Выберите правильный вариант ответа	2) 70  15  10  5
Polina 05	6	Выберите правильный вариант ответа	3) 60  20  15  5
Polina 05	3	Выберите правильный вариант ответа	3) 75  10  10  5
Polina 05	5	Выберите правильный вариант ответа	2) 80  10  5  5
Polina 05	2	Выберите правильный ответ	1) 65  20  10  5
Polina 05	7	Выберите правильный вариант ответа	2) 70  15  10  5
Polina 05	10	Выберите правильный вариант ответа	2) 80  10  5  5
Polina 05	9	Выберите правильный вариант ответа	2) 70  15  10  5
Polina 05	8	Выберите правильный вариант ответа	2) 70  15  10  5
Polina 05	11	Выберите правильный вариант ответа	3) 60  20  15  5
Polina 05	12	Выберите правильный вариант ответа	2) 70  15  10  5
Polina 05	15	Выберите правильный вариант ответа	2) 80  10  5  5
Polina 05	16	Выберите правильный вариант ответа	3) 60  20  15  5
Polina 05	14	Выберите правильный вариант ответа	2) 70  15  10  5
Polina 05	13	Выберите правильный вариант ответа	3) 75  10  10  5
Kate 04	5	Выберите правильный вариант ответа	2) 80  10  5  5
Kate 04	3	Выберите правильный вариант ответа	3) 75  10  10  5
Kate 04	4	Выберите правильный вариант ответа	2) 70  15  10  5
Kate 04	2	Выберите правильный ответ	1) 65  20  10  5
Kate 04	6	Выберите правильный вариант ответа	3) 60  20  15  5
