[BeGaze]
Converted from:	D:\Kirillov\Results\ermolova_temp\Vika-eye_data.idf
Date:	17.04.2019 03:53:45
Version:	BeGaze 3.0.181
Sample Rate:	250
Subject:	Vika
Description:	Run30

Table Header for Fixations:
Event Type	Trial	Number	Start	End	Duration	Location X	Location Y	Dispersion X	Dispersion Y	Plane	Avg. Pupil Size X	Avg. Pupil Size Y

Table Header for Saccades:
Event Type	Trial	Number	Start	End	Duration	Start Loc.X	Start Loc.Y	End Loc.X	End Loc.Y	Amplitude	Peak Speed	Peak Speed At	Average Speed	Peak Accel.	Peak Decel.	Average Accel.

Table Header for User Events:
Event Type	Trial	Number	Start	Description

UserEvent	1	1	6325535087	# Message: Questionnaire21.jpg
Saccade R	1	1	6325552161	6325644165	92004	3.09	618.14	0.00	0.41	44.67	1812.82	0.61	485.57	77960.97	-57772.84	25262.90
Fixation R	1	1	6325644165	6325920155	275990	0.00	-0.03	0	2	-1	6.89	6.89
Saccade R	1	2	6325920155	6325996053	75898	0.00	0.00	0.00	-1.18	35.04	1194.88	0.37	461.68	28199.14	-30498.78	14972.44
Saccade L	1	1	6326024033	6326104036	80003	0.00	0.00	539.17	-5.67	19.99	652.72	0.70	249.85	31523.99	-25251.88	13055.81
Saccade R	1	3	6326024033	6326104036	80003	0.00	0.00	539.17	-5.67	19.99	652.72	0.70	249.85	31523.99	-25251.88	13055.81
Saccade L	1	2	6326104036	6326268039	164003	539.17	-5.67	619.17	4.10	23.30	380.54	0.24	142.08	26227.16	-18292.90	5975.03
Saccade R	1	4	6326104036	6326268039	164003	539.17	-5.67	619.17	4.10	23.30	380.54	0.24	142.08	26227.16	-18292.90	5975.03
Saccade L	1	3	6326352046	6326424051	72005	577.93	137.16	574.40	58.25	6.46	192.42	0.44	89.71	29907.00	-3836.03	4381.63
Saccade R	1	5	6326352046	6326424051	72005	577.93	137.16	574.40	58.25	6.46	192.42	0.44	89.71	29907.00	-3836.03	4381.63
Saccade L	1	4	6326496089	6326580050	83961	583.01	171.98	0.00	-1.17	22.66	681.15	0.24	269.93	19855.57	-14915.34	6767.72
Saccade R	1	6	6326496089	6326580050	83961	583.01	171.98	0.00	-1.17	22.66	681.15	0.24	269.93	19855.57	-14915.34	6767.72
Saccade L	1	5	6326703989	6326740050	36061	515.93	5.18	503.65	16.65	2.75	164.65	0.45	76.32	24412.31	-4601.39	5780.40
Saccade R	1	7	6326703989	6326740050	36061	515.93	5.18	503.65	16.65	2.75	164.65	0.45	76.32	24412.31	-4601.39	5780.40
