[BeGaze]
Converted from:	D:\Kirillov\Results\fatcat\P04-eye_data.idf
Date:	29.05.2019 04:55:18
Version:	BeGaze 3.0.181
Sample Rate:	250
Subject:	P04
Description:	Run4

Table Header for Fixations:
Event Type	Trial	Number	Start	End	Duration	Location X	Location Y	Dispersion X	Dispersion Y	Plane	Avg. Pupil Size X	Avg. Pupil Size Y

Table Header for Saccades:
Event Type	Trial	Number	Start	End	Duration	Start Loc.X	Start Loc.Y	End Loc.X	End Loc.Y	Amplitude	Peak Speed	Peak Speed At	Average Speed	Peak Accel.	Peak Decel.	Average Accel.

Table Header for User Events:
Event Type	Trial	Number	Start	Description

UserEvent	1	1	3759738787	# Message: 2.jpg
Saccade L	1	1	3761329717	3761473628	143911	0.00	0.00	258.35	106.25	31.72	672.12	0.28	220.38	24662.56	-22778.79	7218.34
Saccade L	1	2	3761473628	3761517606	43978	258.35	106.25	0.00	1.85	8.84	484.02	0.73	200.95	10080.98	-7230.20	5439.32
Fixation L	1	1	3761633621	3761741589	107968	0.00	-0.56	0	4	-1	10.58	10.58
Saccade L	1	3	3761741589	3761769614	28025	0.00	0.00	0.00	-1.27	9.26	651.32	0.43	330.39	32042.16	-17452.58	15285.30
Saccade L	1	4	3761769614	3761809609	39995	0.00	-1.27	0.00	-0.85	8.23	610.29	0.60	205.80	13169.36	-16069.71	7094.06
Saccade L	1	5	3761809609	3761845629	36020	0.00	-0.85	0.00	-0.54	6.65	352.32	0.55	184.62	13207.33	-11182.18	7072.39
Saccade L	1	6	3761845629	3761877591	31962	0.00	-0.54	0.00	-1.19	6.11	286.38	0.50	191.10	12739.77	-15319.35	9309.07
Fixation L	1	2	3761877591	3762077593	200002	0.00	-0.15	0	1	-1	10.99	10.99
Saccade L	1	7	3762077593	3762109593	32000	0.00	0.00	0.00	-0.09	11.68	625.70	0.63	365.01	31264.09	-23500.57	19965.76
Saccade L	1	8	3762141607	3762293604	151997	413.81	-17.31	0.00	1.62	41.35	811.68	0.74	272.03	23826.94	-21369.66	6228.91
Saccade L	1	9	3762293604	3762321610	28006	0.00	1.62	0.00	-0.15	2.03	96.26	0.43	72.41	2481.01	-16008.84	5903.32
Saccade L	1	10	3762361611	3762469605	107994	0.00	0.00	0.17	-1.56	36.83	1119.59	0.48	341.06	38727.60	-41215.12	18815.97
Fixation L	1	3	3762469605	3762965507	495902	0.01	-0.06	0	2	-1	11.71	11.71
